CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,南港區,6300900,2018-07-01,06:00:00,26,26,97,偏西風,1,<= 1,31,多雲,02,20,20,2018-07-01
臺北市,南港區,6300900,2018-07-01,09:00:00,31,28,85,西北風,3,2,36,多雲,02,20,20,2018-07-01
臺北市,南港區,6300900,2018-07-01,12:00:00,35,30,77,西北風,3,2,40,多雲,02,20,20,2018-07-01
臺北市,南港區,6300900,2018-07-01,15:00:00,33,30,84,西北風,3,2,38,多雲,02,20,20,2018-07-01
臺北市,南港區,6300900,2018-07-01,18:00:00,31,28,86,西北風,3,2,35,多雲,02,10,20,2018-07-01
臺北市,南港區,6300900,2018-07-01,21:00:00,29,28,93,偏西風,2,2,33,多雲,02,10,20,2018-07-01
臺北市,南港區,6300900,2018-07-02,00:00:00,28,26,92,西南風,2,<= 1,32,多雲,02,20,20,2018-07-01
臺北市,南港區,6300900,2018-07-02,03:00:00,27,25,87,西南風,1,<= 1,30,多雲,02,20,20,2018-07-01
臺北市,南港區,6300900,2018-07-02,06:00:00,27,23,80,西南風,1,<= 1,30,晴,01,20,50,2018-07-01
臺北市,南港區,6300900,2018-07-02,09:00:00,32,26,71,偏西風,2,<= 1,37,晴,01,20,50,2018-07-01
臺北市,南港區,6300900,2018-07-02,12:00:00,36,28,63,東北風,2,<= 1,41,多雲,02,50,50,2018-07-01
臺北市,南港區,6300900,2018-07-02,15:00:00,34,27,65,東北風,2,<= 1,39,午後短暫雷陣雨,36,50,50,2018-07-01
臺北市,南港區,6300900,2018-07-02,18:00:00,32,26,73,東南風,2,<= 1,36,多雲,02,10,10,2018-07-01
臺北市,南港區,6300900,2018-07-02,21:00:00,29,27,85,東南風,1,<= 1,34,晴,01,10,10,2018-07-01
臺北市,南港區,6300900,2018-07-03,00:00:00,28,27,91,偏西風,1,<= 1,33,晴,01,0,10,2018-07-01
臺北市,南港區,6300900,2018-07-03,03:00:00,27,25,85,偏南風,1,<= 1,31,多雲,02,0,10,2018-07-01
臺北市,南港區,6300900,2018-07-03,06:00:00,27,23,81,西南風,1,<= 1,31,多雲,02,20,50,2018-07-01
臺北市,南港區,6300900,2018-07-03,09:00:00,31,26,75,偏東風,1,<= 1,36,多雲,02,20,50,2018-07-01
臺北市,南港區,6300900,2018-07-03,12:00:00,35,28,69,東北風,4,3,41,午後短暫雷陣雨,36,50,50,2018-07-01
臺北市,南港區,6300900,2018-07-03,15:00:00,33,28,71,偏南風,3,2,37,午後短暫雷陣雨,36,50,50,2018-07-01
臺北市,南港區,6300900,2018-07-03,18:00:00,31,28,84,偏西風,1,<= 1,35,多雲,02,10,10,2018-07-01
臺北市,南港區,6300900,2018-07-03,21:00:00,29,28,93,東南風,1,<= 1,34,多雲,02,10,10,2018-07-01
臺北市,南港區,6300900,2018-07-04,00:00:00,28,27,94,偏南風,1,<= 1,33,晴,01,0,10,2018-07-01
臺北市,南港區,6300900,2018-07-04,03:00:00,27,26,90,西南風,1,<= 1,32,多雲,02,0,10,2018-07-01
臺北市,大安區,6300300,2018-07-01,06:00:00,27,26,96,偏西風,1,<= 1,31,多雲,02,20,20,2018-07-01
臺北市,大安區,6300300,2018-07-01,09:00:00,31,28,82,西北風,3,2,37,多雲,02,20,20,2018-07-01
臺北市,大安區,6300300,2018-07-01,12:00:00,35,30,75,西北風,4,3,41,多雲,02,20,20,2018-07-01
臺北市,大安區,6300300,2018-07-01,15:00:00,34,31,83,西北風,3,2,40,多雲,02,20,20,2018-07-01
臺北市,大安區,6300300,2018-07-01,18:00:00,32,29,85,西北風,3,2,36,多雲,02,10,10,2018-07-01
臺北市,大安區,6300300,2018-07-01,21:00:00,30,28,91,偏西風,2,2,35,多雲,02,10,10,2018-07-01
臺北市,大安區,6300300,2018-07-02,00:00:00,29,27,90,偏西風,2,2,33,多雲,02,10,10,2018-07-01
臺北市,大安區,6300300,2018-07-02,03:00:00,28,25,84,西南風,2,<= 1,31,多雲,02,10,10,2018-07-01
臺北市,大安區,6300300,2018-07-02,06:00:00,27,23,78,西南風,1,<= 1,30,晴,01,20,20,2018-07-01
臺北市,大安區,6300300,2018-07-02,09:00:00,32,25,69,偏西風,2,2,36,晴,01,20,20,2018-07-01
臺北市,大安區,6300300,2018-07-02,12:00:00,36,27,61,西南風,2,<= 1,41,多雲,02,20,20,2018-07-01
臺北市,大安區,6300300,2018-07-02,15:00:00,35,27,63,西南風,2,<= 1,40,多雲,02,20,20,2018-07-01
臺北市,大安區,6300300,2018-07-02,18:00:00,32,26,70,西南風,3,2,37,多雲,02,10,10,2018-07-01
臺北市,大安區,6300300,2018-07-02,21:00:00,31,27,82,東北風,1,<= 1,35,晴,01,10,10,2018-07-01
臺北市,大安區,6300300,2018-07-03,00:00:00,29,27,88,西北風,1,<= 1,34,晴,01,0,10,2018-07-01
臺北市,大安區,6300300,2018-07-03,03:00:00,28,26,86,偏東風,1,<= 1,33,多雲,02,0,10,2018-07-01
臺北市,大安區,6300300,2018-07-03,06:00:00,28,24,81,西南風,1,<= 1,31,多雲,02,20,60,2018-07-01
臺北市,大安區,6300300,2018-07-03,09:00:00,32,26,71,偏南風,1,<= 1,37,多雲,02,20,60,2018-07-01
臺北市,大安區,6300300,2018-07-03,12:00:00,35,28,65,西北風,2,<= 1,41,多雲,02,60,60,2018-07-01
臺北市,大安區,6300300,2018-07-03,15:00:00,34,27,67,偏南風,3,2,39,午後短暫雷陣雨,36,60,60,2018-07-01
臺北市,大安區,6300300,2018-07-03,18:00:00,32,28,79,偏西風,1,<= 1,36,多雲,02,10,10,2018-07-01
臺北市,大安區,6300300,2018-07-03,21:00:00,30,28,88,偏東風,1,<= 1,36,多雲,02,10,10,2018-07-01
臺北市,大安區,6300300,2018-07-04,00:00:00,29,27,89,東北風,1,<= 1,34,晴,01,0,10,2018-07-01
臺北市,大安區,6300300,2018-07-04,03:00:00,28,25,86,偏北風,1,<= 1,33,多雲,02,0,10,2018-07-01
臺北市,內湖區,6301000,2018-07-01,06:00:00,27,26,96,偏西風,1,<= 1,31,多雲,02,20,20,2018-07-01
臺北市,內湖區,6301000,2018-07-01,09:00:00,31,28,84,西北風,3,2,37,多雲,02,20,20,2018-07-01
臺北市,內湖區,6301000,2018-07-01,12:00:00,35,30,77,西北風,4,3,40,多雲,02,20,20,2018-07-01
臺北市,內湖區,6301000,2018-07-01,15:00:00,34,31,83,西北風,3,2,39,多雲,02,20,20,2018-07-01
臺北市,內湖區,6301000,2018-07-01,18:00:00,31,29,85,西北風,3,2,36,多雲,02,10,20,2018-07-01
臺北市,內湖區,6301000,2018-07-01,21:00:00,30,28,92,偏西風,2,2,34,多雲,02,10,20,2018-07-01
臺北市,內湖區,6301000,2018-07-02,00:00:00,28,27,91,偏西風,2,2,33,多雲,02,20,20,2018-07-01
臺北市,內湖區,6301000,2018-07-02,03:00:00,27,25,86,西南風,1,<= 1,31,多雲,02,20,20,2018-07-01
臺北市,內湖區,6301000,2018-07-02,06:00:00,27,23,79,西南風,1,<= 1,30,晴,01,20,20,2018-07-01
臺北市,內湖區,6301000,2018-07-02,09:00:00,32,26,70,偏西風,2,<= 1,36,晴,01,20,20,2018-07-01
臺北市,內湖區,6301000,2018-07-02,12:00:00,36,28,63,西南風,2,<= 1,41,多雲,02,20,20,2018-07-01
臺北市,內湖區,6301000,2018-07-02,15:00:00,35,27,65,偏東風,2,<= 1,39,多雲,02,20,20,2018-07-01
臺北市,內湖區,6301000,2018-07-02,18:00:00,32,26,72,偏南風,2,2,36,多雲,02,10,10,2018-07-01
臺北市,內湖區,6301000,2018-07-02,21:00:00,30,27,83,偏東風,1,<= 1,34,晴,01,10,10,2018-07-01
臺北市,內湖區,6301000,2018-07-03,00:00:00,29,27,90,偏西風,1,<= 1,34,晴,01,0,10,2018-07-01
臺北市,內湖區,6301000,2018-07-03,03:00:00,28,25,85,偏南風,1,<= 1,32,多雲,02,0,10,2018-07-01
臺北市,內湖區,6301000,2018-07-03,06:00:00,27,24,80,西南風,1,<= 1,31,多雲,02,20,50,2018-07-01
臺北市,內湖區,6301000,2018-07-03,09:00:00,32,27,74,偏東風,1,<= 1,37,多雲,02,20,50,2018-07-01
臺北市,內湖區,6301000,2018-07-03,12:00:00,35,28,68,東北風,3,2,41,午後短暫雷陣雨,36,50,50,2018-07-01
臺北市,內湖區,6301000,2018-07-03,15:00:00,34,28,70,偏南風,3,2,38,多雲,02,50,50,2018-07-01
臺北市,內湖區,6301000,2018-07-03,18:00:00,32,28,82,西北風,1,<= 1,36,多雲,02,10,10,2018-07-01
臺北市,內湖區,6301000,2018-07-03,21:00:00,30,28,92,東南風,1,<= 1,35,多雲,02,10,10,2018-07-01
臺北市,內湖區,6301000,2018-07-04,00:00:00,29,27,93,偏南風,1,<= 1,34,晴,01,0,10,2018-07-01
臺北市,內湖區,6301000,2018-07-04,03:00:00,28,26,89,西南風,1,<= 1,32,多雲,02,0,10,2018-07-01
臺北市,大同區,6300600,2018-07-01,06:00:00,27,27,95,西北風,1,<= 1,32,多雲,02,20,20,2018-07-01
臺北市,大同區,6300600,2018-07-01,09:00:00,32,28,83,西北風,3,2,37,多雲,02,20,20,2018-07-01
臺北市,大同區,6300600,2018-07-01,12:00:00,35,30,76,西北風,4,3,41,多雲,02,20,20,2018-07-01
臺北市,大同區,6300600,2018-07-01,15:00:00,34,31,82,西北風,3,2,40,多雲,02,20,20,2018-07-01
臺北市,大同區,6300600,2018-07-01,18:00:00,32,29,84,西北風,3,2,37,多雲,02,10,10,2018-07-01
臺北市,大同區,6300600,2018-07-01,21:00:00,31,29,90,偏西風,2,<= 1,35,多雲,02,10,10,2018-07-01
臺北市,大同區,6300600,2018-07-02,00:00:00,29,27,89,偏西風,2,<= 1,34,多雲,02,10,10,2018-07-01
臺北市,大同區,6300600,2018-07-02,03:00:00,28,25,84,西南風,1,<= 1,32,多雲,02,10,10,2018-07-01
臺北市,大同區,6300600,2018-07-02,06:00:00,28,23,78,西南風,2,<= 1,31,晴,01,20,20,2018-07-01
臺北市,大同區,6300600,2018-07-02,09:00:00,32,26,69,偏西風,2,2,36,晴,01,20,20,2018-07-01
臺北市,大同區,6300600,2018-07-02,12:00:00,36,27,61,偏西風,2,<= 1,41,多雲,02,20,20,2018-07-01
臺北市,大同區,6300600,2018-07-02,15:00:00,35,27,64,西南風,2,<= 1,40,多雲,02,20,20,2018-07-01
臺北市,大同區,6300600,2018-07-02,18:00:00,33,26,69,西南風,2,2,37,多雲,02,10,10,2018-07-01
臺北市,大同區,6300600,2018-07-02,21:00:00,31,27,78,東北風,1,<= 1,35,晴,01,10,10,2018-07-01
臺北市,大同區,6300600,2018-07-03,00:00:00,30,27,86,西北風,2,<= 1,35,晴,01,0,10,2018-07-01
臺北市,大同區,6300600,2018-07-03,03:00:00,29,26,85,東北風,1,<= 1,33,多雲,02,0,10,2018-07-01
臺北市,大同區,6300600,2018-07-03,06:00:00,28,24,79,西南風,1,<= 1,32,多雲,02,20,20,2018-07-01
臺北市,大同區,6300600,2018-07-03,09:00:00,32,26,70,偏南風,1,<= 1,37,多雲,02,20,20,2018-07-01
臺北市,大同區,6300600,2018-07-03,12:00:00,35,27,62,偏西風,3,2,41,多雲,02,20,20,2018-07-01
臺北市,大同區,6300600,2018-07-03,15:00:00,35,27,64,偏南風,2,2,39,多雲,02,20,20,2018-07-01
臺北市,大同區,6300600,2018-07-03,18:00:00,32,28,77,西南風,1,<= 1,37,多雲,02,10,10,2018-07-01
臺北市,大同區,6300600,2018-07-03,21:00:00,31,28,87,東北風,1,<= 1,37,多雲,02,10,10,2018-07-01
臺北市,大同區,6300600,2018-07-04,00:00:00,30,28,88,偏北風,1,<= 1,35,晴,01,0,10,2018-07-01
臺北市,大同區,6300600,2018-07-04,03:00:00,29,26,85,西北風,1,<= 1,33,多雲,02,0,10,2018-07-01
臺北市,文山區,6300800,2018-07-01,06:00:00,24,24,96,偏西風,1,<= 1,28,多雲,02,20,20,2018-07-01
臺北市,文山區,6300800,2018-07-01,09:00:00,30,27,82,偏北風,3,2,35,多雲,02,20,20,2018-07-01
臺北市,文山區,6300800,2018-07-01,12:00:00,34,30,76,西北風,3,2,40,多雲,02,20,20,2018-07-01
臺北市,文山區,6300800,2018-07-01,15:00:00,33,30,86,西北風,3,2,38,多雲,02,20,20,2018-07-01
臺北市,文山區,6300800,2018-07-01,18:00:00,30,28,88,西北風,3,2,34,多雲,02,10,10,2018-07-01
臺北市,文山區,6300800,2018-07-01,21:00:00,28,27,94,西南風,2,<= 1,31,多雲,02,10,10,2018-07-01
臺北市,文山區,6300800,2018-07-02,00:00:00,26,25,93,偏南風,1,<= 1,30,多雲,02,10,10,2018-07-01
臺北市,文山區,6300800,2018-07-02,03:00:00,25,23,87,西南風,2,<= 1,28,多雲,02,10,10,2018-07-01
臺北市,文山區,6300800,2018-07-02,06:00:00,25,21,80,偏西風,1,<= 1,27,晴,01,20,20,2018-07-01
臺北市,文山區,6300800,2018-07-02,09:00:00,31,25,70,偏西風,2,<= 1,35,晴,01,20,20,2018-07-01
臺北市,文山區,6300800,2018-07-02,12:00:00,36,27,62,偏南風,3,2,41,多雲,02,20,20,2018-07-01
臺北市,文山區,6300800,2018-07-02,15:00:00,34,26,64,西南風,1,<= 1,38,多雲,02,20,20,2018-07-01
臺北市,文山區,6300800,2018-07-02,18:00:00,31,26,74,東北風,1,<= 1,36,多雲,02,10,10,2018-07-01
臺北市,文山區,6300800,2018-07-02,21:00:00,28,27,90,東南風,1,<= 1,33,晴,01,10,10,2018-07-01
臺北市,文山區,6300800,2018-07-03,00:00:00,27,26,91,偏西風,1,<= 1,31,晴,01,0,10,2018-07-01
臺北市,文山區,6300800,2018-07-03,03:00:00,26,24,87,東南風,1,<= 1,30,多雲,02,0,10,2018-07-01
臺北市,文山區,6300800,2018-07-03,06:00:00,25,23,85,西南風,1,<= 1,28,多雲,02,10,50,2018-07-01
臺北市,文山區,6300800,2018-07-03,09:00:00,31,26,77,西南風,1,<= 1,35,多雲,02,10,50,2018-07-01
臺北市,文山區,6300800,2018-07-03,12:00:00,35,28,70,偏東風,3,2,41,午後短暫雷陣雨,36,50,50,2018-07-01
臺北市,文山區,6300800,2018-07-03,15:00:00,33,28,71,偏南風,4,3,38,午後短暫雷陣雨,36,50,50,2018-07-01
臺北市,文山區,6300800,2018-07-03,18:00:00,30,27,82,偏南風,1,<= 1,33,多雲,02,0,0,2018-07-01
臺北市,文山區,6300800,2018-07-03,21:00:00,28,26,90,東南風,2,<= 1,33,多雲,02,0,0,2018-07-01
臺北市,文山區,6300800,2018-07-04,00:00:00,27,25,91,東南風,1,<= 1,31,晴,01,0,0,2018-07-01
臺北市,文山區,6300800,2018-07-04,03:00:00,26,24,89,東北風,1,<= 1,29,多雲,02,0,0,2018-07-01
臺北市,士林區,6301100,2018-07-01,06:00:00,27,26,96,西北風,2,<= 1,32,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-01,09:00:00,31,29,85,西北風,4,3,37,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-01,12:00:00,35,30,77,西北風,4,3,39,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-01,15:00:00,34,30,82,西北風,4,3,38,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-01,18:00:00,32,29,84,西北風,3,2,35,多雲,02,10,10,2018-07-01
臺北市,士林區,6301100,2018-07-01,21:00:00,30,28,91,西北風,3,2,34,多雲,02,10,10,2018-07-01
臺北市,士林區,6301100,2018-07-02,00:00:00,29,27,90,西北風,2,2,33,多雲,02,10,10,2018-07-01
臺北市,士林區,6301100,2018-07-02,03:00:00,28,25,85,西北風,1,<= 1,31,多雲,02,10,10,2018-07-01
臺北市,士林區,6301100,2018-07-02,06:00:00,27,23,78,偏西風,1,<= 1,31,晴,01,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-02,09:00:00,32,26,70,偏西風,2,<= 1,37,晴,01,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-02,12:00:00,36,27,62,偏西風,2,2,41,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-02,15:00:00,35,27,65,偏南風,1,<= 1,39,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-02,18:00:00,32,26,69,西南風,1,<= 1,37,多雲,02,10,10,2018-07-01
臺北市,士林區,6301100,2018-07-02,21:00:00,30,26,77,東北風,1,<= 1,35,晴,01,10,10,2018-07-01
臺北市,士林區,6301100,2018-07-03,00:00:00,29,27,87,西北風,2,<= 1,34,晴,01,0,10,2018-07-01
臺北市,士林區,6301100,2018-07-03,03:00:00,28,25,84,東北風,1,<= 1,32,多雲,02,0,10,2018-07-01
臺北市,士林區,6301100,2018-07-03,06:00:00,28,24,78,西南風,1,<= 1,32,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-03,09:00:00,32,26,71,偏南風,1,<= 1,37,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-03,12:00:00,35,27,63,西北風,2,2,40,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-03,15:00:00,34,26,65,偏南風,2,<= 1,38,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-03,18:00:00,32,28,79,偏北風,1,<= 1,37,多雲,02,10,10,2018-07-01
臺北市,士林區,6301100,2018-07-03,21:00:00,30,28,89,偏北風,1,<= 1,36,多雲,02,10,10,2018-07-01
臺北市,士林區,6301100,2018-07-04,00:00:00,29,27,90,西北風,1,<= 1,34,晴,01,0,10,2018-07-01
臺北市,士林區,6301100,2018-07-04,03:00:00,28,26,87,偏西風,1,<= 1,33,多雲,02,0,10,2018-07-01
臺北市,松山區,6300100,2018-07-01,06:00:00,27,26,96,偏西風,1,<= 1,31,多雲,02,20,20,2018-07-01
臺北市,松山區,6300100,2018-07-01,09:00:00,31,28,84,西北風,3,2,37,多雲,02,20,20,2018-07-01
臺北市,松山區,6300100,2018-07-01,12:00:00,35,30,77,西北風,4,3,40,多雲,02,20,20,2018-07-01
臺北市,松山區,6300100,2018-07-01,15:00:00,34,31,83,西北風,3,2,39,多雲,02,20,20,2018-07-01
臺北市,松山區,6300100,2018-07-01,18:00:00,31,29,85,西北風,3,2,36,多雲,02,10,20,2018-07-01
臺北市,松山區,6300100,2018-07-01,21:00:00,30,28,92,偏西風,2,2,34,多雲,02,10,20,2018-07-01
臺北市,松山區,6300100,2018-07-02,00:00:00,28,27,91,偏西風,2,2,33,多雲,02,20,20,2018-07-01
臺北市,松山區,6300100,2018-07-02,03:00:00,27,25,86,西南風,1,<= 1,31,多雲,02,20,20,2018-07-01
臺北市,松山區,6300100,2018-07-02,06:00:00,27,23,79,西南風,1,<= 1,30,晴,01,20,20,2018-07-01
臺北市,松山區,6300100,2018-07-02,09:00:00,32,26,70,偏西風,2,<= 1,36,晴,01,20,20,2018-07-01
臺北市,松山區,6300100,2018-07-02,12:00:00,36,28,63,西南風,2,<= 1,41,多雲,02,20,20,2018-07-01
臺北市,松山區,6300100,2018-07-02,15:00:00,35,27,65,偏東風,2,<= 1,39,多雲,02,20,20,2018-07-01
臺北市,松山區,6300100,2018-07-02,18:00:00,32,26,72,偏南風,2,2,36,多雲,02,10,10,2018-07-01
臺北市,松山區,6300100,2018-07-02,21:00:00,30,27,83,偏東風,1,<= 1,34,晴,01,10,10,2018-07-01
臺北市,松山區,6300100,2018-07-03,00:00:00,29,27,90,偏西風,1,<= 1,34,晴,01,0,10,2018-07-01
臺北市,松山區,6300100,2018-07-03,03:00:00,28,25,85,偏南風,1,<= 1,32,多雲,02,0,10,2018-07-01
臺北市,松山區,6300100,2018-07-03,06:00:00,27,24,80,西南風,1,<= 1,31,多雲,02,20,50,2018-07-01
臺北市,松山區,6300100,2018-07-03,09:00:00,32,27,74,偏東風,1,<= 1,37,多雲,02,20,50,2018-07-01
臺北市,松山區,6300100,2018-07-03,12:00:00,35,28,68,東北風,3,2,41,午後短暫雷陣雨,36,50,50,2018-07-01
臺北市,松山區,6300100,2018-07-03,15:00:00,34,28,70,偏南風,3,2,38,多雲,02,50,50,2018-07-01
臺北市,松山區,6300100,2018-07-03,18:00:00,32,28,82,西北風,1,<= 1,36,多雲,02,10,10,2018-07-01
臺北市,松山區,6300100,2018-07-03,21:00:00,30,28,92,東南風,1,<= 1,35,多雲,02,10,10,2018-07-01
臺北市,松山區,6300100,2018-07-04,00:00:00,29,27,93,偏南風,1,<= 1,34,晴,01,0,10,2018-07-01
臺北市,松山區,6300100,2018-07-04,03:00:00,28,26,89,西南風,1,<= 1,32,多雲,02,0,10,2018-07-01
臺北市,萬華區,6300700,2018-07-01,06:00:00,27,26,95,偏西風,1,<= 1,31,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-01,09:00:00,32,28,81,西北風,3,2,38,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-01,12:00:00,36,31,75,西北風,4,3,42,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-01,15:00:00,35,32,82,西北風,3,2,41,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-01,18:00:00,32,29,84,西北風,3,2,37,多雲,02,10,10,2018-07-01
臺北市,萬華區,6300700,2018-07-01,21:00:00,30,29,90,偏西風,2,2,35,多雲,02,10,10,2018-07-01
臺北市,萬華區,6300700,2018-07-02,00:00:00,29,27,89,偏西風,2,<= 1,34,多雲,02,10,10,2018-07-01
臺北市,萬華區,6300700,2018-07-02,03:00:00,28,25,84,西南風,2,2,32,多雲,02,10,10,2018-07-01
臺北市,萬華區,6300700,2018-07-02,06:00:00,27,23,77,西南風,2,<= 1,30,晴,01,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-02,09:00:00,32,25,68,偏西風,3,2,36,晴,01,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-02,12:00:00,36,27,60,西南風,2,<= 1,40,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-02,15:00:00,35,27,62,西南風,2,<= 1,40,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-02,18:00:00,32,26,69,西南風,3,2,37,多雲,02,10,10,2018-07-01
臺北市,萬華區,6300700,2018-07-02,21:00:00,31,27,81,東北風,1,<= 1,35,晴,01,10,10,2018-07-01
臺北市,萬華區,6300700,2018-07-03,00:00:00,30,27,87,西北風,2,<= 1,34,晴,01,0,10,2018-07-01
臺北市,萬華區,6300700,2018-07-03,03:00:00,28,26,86,偏東風,1,<= 1,32,多雲,02,0,10,2018-07-01
臺北市,萬華區,6300700,2018-07-03,06:00:00,28,24,80,西南風,1,<= 1,31,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-03,09:00:00,32,26,70,偏南風,1,<= 1,37,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-03,12:00:00,36,28,63,偏西風,3,2,42,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-03,15:00:00,35,28,65,偏南風,3,2,40,多雲,02,20,20,2018-07-01
臺北市,萬華區,6300700,2018-07-03,18:00:00,33,28,78,西南風,1,<= 1,37,多雲,02,10,10,2018-07-01
臺北市,萬華區,6300700,2018-07-03,21:00:00,31,28,87,東北風,1,<= 1,37,多雲,02,10,10,2018-07-01
臺北市,萬華區,6300700,2018-07-04,00:00:00,29,27,87,東北風,1,<= 1,35,晴,01,0,10,2018-07-01
臺北市,萬華區,6300700,2018-07-04,03:00:00,28,25,84,偏北風,1,<= 1,33,多雲,02,0,10,2018-07-01
臺北市,中正區,6300500,2018-07-01,06:00:00,27,26,95,偏西風,1,<= 1,31,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-01,09:00:00,32,28,81,西北風,3,2,38,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-01,12:00:00,36,31,75,西北風,4,3,42,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-01,15:00:00,35,32,82,西北風,3,2,41,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-01,18:00:00,32,29,84,西北風,3,2,37,多雲,02,10,10,2018-07-01
臺北市,中正區,6300500,2018-07-01,21:00:00,30,29,90,偏西風,2,2,35,多雲,02,10,10,2018-07-01
臺北市,中正區,6300500,2018-07-02,00:00:00,29,27,89,偏西風,2,<= 1,34,多雲,02,10,10,2018-07-01
臺北市,中正區,6300500,2018-07-02,03:00:00,28,25,84,西南風,2,2,32,多雲,02,10,10,2018-07-01
臺北市,中正區,6300500,2018-07-02,06:00:00,27,23,77,西南風,2,<= 1,30,晴,01,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-02,09:00:00,32,25,68,偏西風,3,2,36,晴,01,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-02,12:00:00,36,27,60,西南風,2,<= 1,40,多雲,02,20,20,2018-07-01
臺北市,中正區,6300500,2018-07-02,15:00:00,35,27,62,西南風,2,<= 1,40,多雲,02,20,20,2018-07-01
